Sentence	TokenOrder	Token	NER_Tag	pos
1263	3	o‘yinida	O	NER
1263	4	maydonga	O	NER
1263	5	it	O	NER
1263	6	chiqib	O	NER
1263	7	ketdi	O	NER
1263	8	va	O	NER
1263	9	“	O	PUNCT
1263	10	Deportivo	B-ORG	NER
1263	11	Pereyra	I-ORG	NER
1263	12	”	O	PUNCT
1263	13	jamoasi	O	N
1263	14	himoyachisi	O	N
1263	15	Uolmer	B-PER	NER
1263	16	Pacheko	I-PER	NER
1263	17	jarohat	O	IB
1263	18	olgan	O	IB
1263	19	holatni	O	IB
1263	20	a’lo	O	IB
1263	21	darajada	O	IB
1263	22	taqlid	O	IB
1263	23	qildi	O	IB
1263	24	.	O	PUNCT
1264	1	Xoland	B-PER	NER
1264	2	o‘zining	O	NER
1264	3	YouTube	B-ORG	NER
1264	4	kanalida	O	NER
1264	5	24	B-NUMERIC	NER
1264	6	soat	I-NUMERIC	NER
1264	7	ichida	O	NER
1264	8	200	B-NUMERIC	NER
1264	9	mingdan	I-NUMERIC	NER
1264	10	ortiq	O	NER
1264	11	obunachi	O	NER
1264	12	to‘pladi	O	NER
1264	13	—	O	PUNCT
1264	14	ilk	O	N
1264	15	videosida	O	N
1264	16	«	O	PUNCT
1264	17	Manchester	B-ORG	NER
1264	18	Siti	I-ORG	NER
1264	19	»	O	PUNCT
1264	20	hujumchisi	O	IB
1264	21	professional	O	IB
1264	22	futbolchining	O	IB
1264	23	bir	O	IB
1264	24	kunini	O	IB
1264	25	namoyish	O	IB
1264	26	etdi	O	IB
1264	27	.	O	PUNCT
1265	1	Ronalduga	B-PER	NER
1265	2	yangi	O	NER
1265	3	raqobatchi	O	NER
1265	4	o‘sib	O	NER
1265	5	chiqmoqda	O	NER
1265	6	!	O	PUNCT
1266	1	Garnacho	B-PER	NER
1266	2	Chelsi	B-ORG	NER
1266	3	safida	O	NER
1266	4	dastlabki	O	NER
1266	5	golini	O	NER
1266	6	urdi	O	NER
1266	7	.	O	PUNCT
1267	1	Braziliyalik	O	IB
1267	2	yigit	O	IB
1267	3	butun	O	IB
1267	4	jamoa	O	IB
1267	5	senga	O	IB
1267	6	hujum	O	IB
1267	7	qilganda	O	IB
1267	8	nima	O	IB
1267	9	qilish	O	IB
1267	10	kerakligini	O	IB
1267	11	ko‘rsatib	O	IB
1267	12	berdi	O	IB
1267	13	.	O	PUNCT
1268	1	Lionel	B-PER	NER
1268	2	Messi	I-PER	NER
1268	3	karyerasida	O	IB
1268	4	boshi	O	IB
1268	5	bilan	O	IB
1268	6	urgan	O	IB
1268	7	29-golini	B-NUMERIC	IB
1268	8	kiritdi	O	IB
1268	9	!	O	PUNCT
1269	1	Bugun	O	NER
1269	2	u	O	NER
1269	3	MLS	B-ORG	NER
1269	4	pley-offining	O	NER
1269	5	2025-08-01 00:00:00	B-TEMPORAL	NER
1269	6	finalida	O	NER
1269	7	dubl	O	NER
1269	8	qayd	O	NER
1269	9	etdi	O	NER
1269	10	.	O	PUNCT
1270	1	Karvaxal	B-PER	NER
1270	2	Yamalning	B-PER	NER
1270	3	“	O	PUNCT
1270	4	hiylagar	O	N
1270	5	”	O	PUNCT
1270	6	«	O	PUNCT
1270	7	Real	B-ORG	NER
1270	8	»	O	PUNCT
1270	9	haqidagi	O	IB
1270	10	so‘zlarini	O	IB
1270	11	muhokama	O	IB
1270	12	qilishni	O	IB
1270	13	rejalashtirmoqda	O	IB
1270	14	va	O	IB
1270	15	o‘yindan	O	IB
1270	16	keyin	O	IB
1270	17	gaplashib	O	IB
1270	18	olmoqchi	O	IB
1270	19	—	O	PUNCT
1270	20	“	O	PUNCT
1270	21	madridliklar	O	N
1270	22	”	O	PUNCT
1270	23	ning	O	N
1270	24	fikricha	O	N
1270	25	,	O	PUNCT
1270	26	18	B-NUMERIC	NUM
1270	27	yoshli	O	N
1270	28	vinger	O	IB
1270	29	o‘zini	O	IB
1270	30	kasbga	O	IB
1270	31	xos	O	IB
1270	32	bo‘lmagan	O	IB
1270	33	tarzda	O	IB
1270	34	tutayapti	O	IB
1270	35	.	O	PUNCT
1271	1	Bundan	O	NER
1271	2	oldin	O	NER
1271	3	Yamal	B-PER	NER
1271	4	«	O	PUNCT
1271	5	Real	B-ORG	NER
1271	6	»	O	PUNCT
1271	7	ni	O	N
1271	8	Ispaniya	B-LOC	NER
1271	9	medialigasidagi	O	NER
1271	10	klub	O	NER
1271	11	bilan	O	NER
1271	12	solishtirib	O	NER
1271	13	,	O	PUNCT
1271	14	u	O	N
1271	15	yerdagi	O	N
1271	16	futbolchilar	O	N
1271	17	“	O	PUNCT
1271	18	hiyla	O	N
1271	19	qiladi	O	NER
1271	20	va	O	NER
1271	21	shikoyat	O	NER
1271	22	qiladi	O	NER
1271	23	”	O	PUNCT
1271	24	,	O	PUNCT
1271	25	deb	O	N
1271	26	aytgan	O	N
1271	27	edi	O	N
1271	28	.	O	PUNCT
1272	1	Real	B-ORG	NER
1272	2	Madridga	B-LOC	NER
1272	3	qarshi	O	NER
1272	4	o‘ynab	O	NER
1272	5	,	O	PUNCT
1272	6	mashina	O	N
1272	7	olgan	O	N
1272	8	Qayratning	B-PER	NER
1272	9	18	B-NUMERIC	NER
1272	10	yoshli	O	NER
1272	11	darvozaboni	O	NER
1272	12	Sherxon	B-PER	NER
1272	13	Holmirza	I-PER	NER
1272	14	yoshlar	O	IB
1272	15	musobaqasida	O	IB
1272	16	maydon	O	IB
1272	17	markazidan	O	IB
1272	18	gol	O	IB
1272	19	o‘tkazdi	O	IB
1272	20	.	O	PUNCT
1273	1	Kecha	O	NER
1273	2	KL	B-ORG	NER
1273	3	va	O	NER
1273	4	YeLda	B-ORG	NER
1273	5	chiroyli	O	NER
1273	6	gollar	O	NER
1273	7	urildi	O	NER
1273	8	.	O	PUNCT
1274	1	Ibragimovichning	B-PER	NER
1274	2	Angliya	B-LOC	NER
1274	3	termasi	O	NER
1274	4	darvozasiga	O	NER
1274	5	urgan	O	NER
1274	6	mashhur	O	NER
1274	7	«	O	PUNCT
1274	8	qaychi	O	N
1274	9	»	O	PUNCT
1274	10	goli	O	IB
1274	11	havaskorlar	O	IB
1274	12	ligasida	O	IB
1274	13	takrorlandi	O	IB
1274	14	—	O	IB
1274	15	natija	O	IB
1274	16	deyarli	O	IB
1274	17	bir	O	IB
1274	18	xil	O	IB
1274	19	bo‘ldi	O	IB
1274	20	.	O	PUNCT
1275	1	Sen	O	NER
1275	2	Messi	B-PER	NER
1275	3	bo‘lsang	O	N
1275	4	,	O	PUNCT
1275	5	to‘pni	O	N
1275	6	yo‘qotsang	O	N
1275	7	ham	O	N
1275	8	markaziga	O	N
1275	9	kirmaysan	O	N
1275	10	.	O	PUNCT
1276	1	«	O	PUNCT
1276	2	Los-Anjeles	B-ORG	NER
1276	3	»	O	PUNCT
1276	4	darvozaboni	O	N
1276	5	Ugo	B-PER	NER
1276	6	Loris	I-PER	NER
1276	7	hafta	O	IB
1276	8	oxiridagi	O	IB
1276	9	eng	O	IB
1276	10	yorqin	O	IB
1276	11	xatolardan	O	IB
1276	12	biriga	O	IB
1276	13	yo‘l	O	IB
1276	14	qo‘ydi	O	IB
1276	15	:	O	IB
1276	16	kiper	O	IB
1276	17	maydondagi	O	IB
1276	18	hech	O	IB
1276	19	qanday	O	IB
1276	20	xavfsiz	O	IB
1276	21	holatda	O	IB
1276	22	raqib	O	IB
1276	23	—	O	PUNCT
1276	24	«	O	PUNCT
1276	25	Kolorado	B-ORG	NER
1276	26	»	O	PUNCT
1276	27	jamoasiga	O	N
1276	28	gol	O	N
1276	29	sovg‘a	O	N
1276	30	qildi	O	N
1276	31	.	O	PUNCT
1277	1	Gyulerning	B-PER	NER
1277	2	“	O	PUNCT
1277	3	o‘yinning	O	N
1277	4	eng	O	NER
1277	5	yaxshi	O	NER
1277	6	futbolchism	O	NER
1277	7	”	O	PUNCT
1277	8	deb	O	N
1277	9	tan	O	N
1277	10	olinganiga	O	N
1277	11	munosabati	O	N
1277	12	.	O	PUNCT
1278	1	«	O	PUNCT
1278	2	Alaniya	B-ORG	NER
1278	3	»	O	PUNCT
1278	4	jamoasi	O	N
1278	5	«	O	PUNCT
1278	6	Veles	B-ORG	NER
1278	7	»	O	PUNCT
1278	8	ga	O	IB
1278	9	qarshi	O	IB
1278	10	o‘yinda	O	IB
1278	11	belgilangan	O	IB
1278	12	penaltidan	O	IB
1278	13	juda	O	IB
1278	14	norozi	O	IB
1278	15	bo‘ldi	O	IB
1278	16	va	O	IB
1278	17	futbolchilar	O	IB
1278	18	zarbani	O	IB
1278	19	qaytarmaslikka	O	IB
1278	20	qaror	O	IB
1278	21	qilishdi	O	IB
1278	22	.	O	PUNCT
1279	1	Eng	O	NER
1279	2	qizig‘i	O	NER
1279	3	bu	O	NER
1279	4	darvozabonni	O	NER
1279	5	Ten	B-PER	NER
1279	6	Xag	I-PER	NER
1279	7	Bayerga	B-ORG	NER
1279	8	10	B-NUMERIC	NER
1279	9	million	I-NUMERIC	NER
1279	10	yevro	B-MONEY	NER
1279	11	yevaziga	O	NER
1279	12	olib	O	NER
1279	13	kelgan	O	NER
1279	14	.	O	PUNCT
1280	1	Atletikoning	B-ORG	IB
1280	2	bir	O	IB
1280	3	kun	O	IB
1280	4	oldin	O	IB
1280	5	dush	O	IB
1280	6	qabul	O	IB
1280	7	qilmagani	O	IB
1280	8	o‘z	O	IB
1280	9	so‘zini	O	IB
1280	10	aytdi	O	IB
1280	11	.	O	PUNCT
1281	1	2026-yilgi	B-TEMPORAL	IB
1281	2	Jahon	B-MISC	IB
1281	3	chempionatida	I-MISC	IB
1281	4	biletlar	O	IB
1281	5	narxi	O	IB
1281	6	ancha	O	IB
1281	7	qimmat	O	IB
1281	8	bo‘ladi	O	IB
1281	9	.	O	PUNCT
1282	1	Harri	B-PER	NER
1282	2	Maguayr	I-PER	NER
1282	3	150	B-NUMERIC	NER
1282	4	millionlik	I-NUMERIC	NER
1282	5	Isak	B-PER	NER
1282	6	va	O	NER
1282	7	150	B-NUMERIC	NER
1282	8	millionlik	I-NUMERIC	NER
1282	9	Virsdan	B-PER	NER
1282	10	avval	O	NER
1282	11	“	O	PUNCT
1282	12	Enfild	B-LOC	NER
1282	13	”	O	PUNCT
1282	14	da	O	N
1282	15	gol	O	N
1282	16	urdi	O	N
1282	17	.	O	PUNCT
1283	1	Diogu	B-PER	NER
1283	2	Dalot	I-PER	NER
1283	3	“	O	PUNCT
1283	4	Manchester	B-ORG	NER
1283	5	Yunayted	I-ORG	NER
1283	6	”	O	PUNCT
1283	7	muxlisi	O	N
1283	8	haqida	O	N
1283	9	,	O	PUNCT
1283	10	u	O	IB
1283	11	jamoa	O	IB
1283	12	5ta	B-NUMERIC	IB
1283	13	o‘yinni	O	IB
1283	14	ketma-ket	O	IB
1283	15	yutmaguncha	O	IB
1283	16	sochini	O	IB
1283	17	oldirmaslikka	O	IB
1283	18	va’da	O	IB
1283	19	bergan	O	IB
1283	20	:	O	PUNCT
1283	21	“	O	PUNCT
1283	22	Umid	O	N
1283	23	qilamizki	O	N
1283	24	,	O	PUNCT
1283	25	biz	O	IB
1283	26	unga	O	IB
1283	27	soch	O	IB
1283	28	olish	O	IB
1283	29	imkonini	O	IB
1283	30	beramiz	O	IB
1283	31	.	O	PUNCT
1284	1	Abduqodir	B-PER	NER
1284	2	Husanov	I-PER	NER
1284	3	APL	B-ORG	NER
1284	4	chempioni	O	NER
1284	5	?	O	PUNCT
1285	1	Gvardiola	B-PER	IB
1285	2	o‘z	O	IB
1285	3	murabbiylik	O	IB
1285	4	faoliyatida	O	IB
1285	5	birorta	O	IB
1285	6	ham	O	IB
1285	7	chempionatda	O	IB
1285	8	ikki	O	IB
1285	9	mavsum	O	IB
1285	10	ketma-ket	O	IB
1285	11	mag‘lub	O	IB
1285	12	bo‘lmagan	O	IB
1285	13	.	O	PUNCT
1286	1	Hozir	O	NER
1286	2	""""	O	PUNCT
1286	3	Man	B-ORG	NER
1286	4	Siti	I-ORG	NER
1286	5	""""	O	PUNCT
1286	6	2-o‘rinda	B-NUMERIC	N
1286	7	bormoqda	O	N
1286	8	va	O	N
1286	9	""""	O	PUNCT
1286	10	Arsenal	B-ORG	NER
1286	11	""""	O	PUNCT
1286	12	dan	O	N
1286	13	3	B-NUMERIC	NUM
1286	14	ochko	I-NUMERIC	N
1286	15	orqada	O	N
1286	16	qolmoqda	O	N
1286	17	.	O	PUNCT
1287	1	Angliya	B-LOC	NER
1287	2	Chempionshipida	B-ORG	NER
1287	3	mavsumning	O	NER
1287	4	eng	O	NER
1287	5	chiroyli	O	NER
1287	6	goli	O	NER
1287	7	kiritildi	O	NER
1287	8	—	O	PUNCT
1287	9	«	O	PUNCT
1287	10	Barnsli	B-ORG	NER
1287	11	»	O	PUNCT
1287	12	yarimhimoyachisi	O	N
1287	13	Reyes	B-PER	NER
1287	14	Kliri	I-PER	NER
1287	15	«	O	PUNCT
1287	16	Bredford	B-ORG	NER
1287	17	Siti	I-ORG	NER
1287	18	»	O	PUNCT
1287	19	darvozaboni	O	N
1287	20	Sem	B-PER	NER
1287	21	Uoker	I-PER	NER
1287	22	juda	O	NER
1287	23	oldinga	O	NER
1287	24	chiqib	O	NER
1287	25	ketganini	O	NER
1287	26	ko‘rib	O	NER
1287	27	,	O	PUNCT
1287	28	o‘z	O	IB
1287	29	maydoni	O	IB
1287	30	yarmidan	O	IB
1287	31	turib	O	IB
1287	32	to‘pni	O	IB
1287	33	darvoza	O	IB
1287	34	tomon	O	IB
1287	35	yo‘lladi	O	IB
1287	36	va	O	IB
1287	37	gol	O	IB
1287	38	urdi	O	IB
1287	39	.	O	PUNCT
1288	1	«	O	PUNCT
1288	2	Liverpul	B-ORG	NER
1288	3	»	O	PUNCT
1288	4	so‘nggi	O	N
1288	5	marta	O	NER
1288	6	to‘rtta	O	NER
1288	7	o‘yinni	O	NER
1288	8	ketma-ket	O	NER
1288	9	yutqazgani	O	NER
1288	10	2014	B-TEMPORAL	NER
1288	11	yil	I-TEMPORAL	NER
1288	12	noyabrida	I-TEMPORAL	NER
1288	13	bo‘lgan	O	NER
1288	14	.	O	PUNCT
1289	1	Bu	O	NER
1289	2	mavsum	O	NER
1289	3	oldidan	O	NER
1289	4	transferlarga	O	NER
1289	5	deyarli	O	NER
1289	6	500	B-MONEY	NER
1289	7	million	I-MONEY	NER
1289	8	yevro	I-MONEY	NER
1289	9	sarflangan	O	NER
1289	10	.	O	PUNCT
1290	1	Lion	B-ORG	NER
1290	2	ayollar	O	NER
1290	3	jamoasining	O	NER
1290	4	18	B-NUMERIC	NER
1290	5	yoshli	O	NER
1290	6	futbolchisidan	O	NER
1290	7	super	O	NER
1290	8	gol	O	NER
1290	9	.	O	PUNCT
1291	1	Yevropada	B-LOC	NER
1291	2	yana	O	NER
1291	3	bir	O	NER
1291	4	mojaro	O	NER
1291	5	!	O	PUNCT
1292	1	Belgiya	B-LOC	NER
1292	2	chempionatining	O	NER
1292	3	11-turidagi	B-NUMERIC	NER
1292	4	«	O	PUNCT
1292	5	Standart	B-ORG	NER
1292	6	»	O	PUNCT
1292	7	va	O	N
1292	8	«	O	PUNCT
1292	9	Antverpen	B-ORG	NER
1292	10	»	O	PUNCT
1292	11	jamoalari	O	IB
1292	12	o‘rtasidagi	O	IB
1292	13	uchrashuvda	O	IB
1292	14	hakam	O	IB
1292	15	87-daqiqada	B-NUMERIC	IB
1292	16	o‘yinni	O	IB
1292	17	to‘xtatdi	O	IB
1292	18	—	O	PUNCT
1292	19	sababi	O	N
1292	20	,	O	PUNCT
1292	21	tribunadan	O	N
1292	22	unga	O	N
1292	23	stakan	O	N
1292	24	otishgan	O	N
1292	25	.	O	PUNCT
1293	1	Gretsiya	B-LOC	IB
1293	2	quyi	O	IB
1293	3	ligasida	O	IB
1293	4	qiziq	O	IB
1293	5	holat	O	IB
1293	6	kuzatildi	O	IB
1293	7	.	O	PUNCT
1294	1	Futbolchi	O	NER
1294	2	feyr-pleyga	O	NER
1294	3	amal	O	NER
1294	4	qilmasdan	O	NER
1294	5	gol	O	NER
1294	6	urdi	O	NER
1294	7	,	O	PUNCT
1294	8	keyin	O	N
1294	9	janjal	O	N
1294	10	chiqdi	O	N
1294	11	...	O	PUNCT
1294	12	Videoni	O	N
1294	13	oxirigacha	O	N
1294	14	ko‘ring	O	N
1294	15	.	O	PUNCT
1295	1	Nunu	B-PER	NER
1295	2	Mendesh	I-PER	NER
1295	3	va	O	NER
1295	4	Ronaldu	B-PER	NER
1295	5	nimadirlardir	O	NER
1295	6	qilmoqchi	O	NER
1295	7	bo‘lishdi	O	NER
1295	8	...	O	PUNCT
1295	9	Kecha	O	IB
1295	10	Qatar-BAA	B-MISC	IB
1295	11	o‘yinida	I-MISC	IB
1295	12	arablar	O	IB
1295	13	urishib	O	IB
1295	14	ketibdi	O	IB
1295	15	.	O	PUNCT
1296	1	Bu	O	IB
1296	2	darvozabon	O	IB
1296	3	oddiy	O	IB
1296	4	o‘yinni	O	IB
1296	5	osongina	O	IB
1296	6	shouga	O	IB
1296	7	aylantiradi	O	IB
1296	8	:	O	PUNCT
1296	9	argentinalik	O	N
1296	10	«	O	PUNCT
1296	11	Deportivo	B-ORG	NER
1296	12	Riyestra	I-ORG	NER
1296	13	»	O	PUNCT
1296	14	darvozaboni	O	N
1296	15	Nacho	B-PER	NER
1296	16	Arsening	I-PER	NER
1296	17	«	O	PUNCT
1296	18	Platense	B-ORG	NER
1296	19	»	O	PUNCT
1296	20	ga	O	IB
1296	21	qarshi	O	IB
1296	22	o‘yindagi	O	IB
1296	23	hiyla-nayranglariga	O	IB
1296	24	bir	O	IB
1296	25	qarang	O	IB
1296	26	.	O	PUNCT
1297	1	Ravshan	B-PER	NER
1297	2	aka	O	NER
1297	3	4	B-NUMERIC	NER
1297	4	millionning	I-NUMERIC	NER
1297	5	yarmini	O	NER
1297	6	,	O	PUNCT
1297	7	yarmi	O	N
1297	8	ham	O	N
1297	9	emas	O	N
1297	10	,	O	PUNCT
1297	11	degandi-ku	O	N
1297	12	)))	O	N
1297	13	Bu	O	NER
1297	14	mamlakat	O	NER
1297	15	hududi	O	NER
1297	16	SSSRnikidan	B-LOC	NER
1297	17	5554	B-NUMERIC	NER
1297	18	barobar	O	NER
1297	19	kichik	O	NER
1297	20	va	O	NER
1297	21	AQShning	B-LOC	NER
1297	22	50	B-NUMERIC	NER
1297	23	shtatidagi	I-NUMERIC	NER
1297	24	49	B-NUMERIC	NER
1297	25	tasidan	I-NUMERIC	N
1297	26	ham	O	N
1297	27	maydon	O	N
1297	28	jihatdan	O	N
1297	29	kichik	O	N
1297	30	,	O	PUNCT
1297	31	ammo	O	IB
1297	32	baribir	O	IB
1297	33	jahon	O	IB
1297	34	chempionatiga	O	IB
1297	35	chiqishga	O	IB
1297	36	muvaffaq	O	IB
1297	37	bo‘ldi	O	IB
1297	38	!	O	PUNCT
1298	1	Ukraina	B-LOC	NER
1298	2	ikkinchi	O	NER
1298	3	ligasi	O	NER
1298	4	bahsida	O	NER
1298	5	«	O	PUNCT
1298	6	Real	B-ORG	NER
1298	7	Farma	I-ORG	NER
1298	8	»	O	PUNCT
1298	9	va	O	N
1298	10	«	O	PUNCT
1298	11	Bukovina-2	B-ORG	NER
1298	12	»	O	PUNCT
1298	13	jamoalari	O	IB
1298	14	o‘rtasidagi	O	IB
1298	15	kulgili	O	IB
1298	16	gol	O	IB
1298	17	urildi	O	IB
1298	18	:	O	IB
1298	19	mezbonlar	O	IB
1298	20	hujumchisining	O	IB
1298	21	zarbasidan	O	IB
1298	22	keyin	O	IB
1298	23	to‘p	O	IB
1298	24	to‘rni	O	IB
1298	25	teshib	O	IB
1298	26	o‘tib	O	IB
1298	27	,	O	PUNCT
1298	28	darvoza	O	N
1298	29	ortiga	O	N
1298	30	uchib	O	N
1298	31	ketdi	O	N
1298	32	.	O	PUNCT
1299	1	Qizig‘i	O	N
1299	2	shundaki	O	N
1299	3	,	O	PUNCT
1299	4	gol	O	IB
1299	5	hisobga	O	IB
1299	6	olindi	O	IB
1299	7	—	O	IB
1299	8	raqiblar	O	IB
1299	9	unga	O	IB
1299	10	hatto	O	IB
1299	11	e’tiroz	O	IB
1299	12	ham	O	IB
1299	13	bildirishmadi	O	IB
1299	14	.	O	PUNCT
1300	1	O‘tkir	O	NER
1300	2	burchakdan	O	NER
1300	3	urilgan	O	NER
1300	4	va	O	NER
1300	5	30	B-NUMERIC	NER
1300	6	metrdan	I-NUMERIC	NER
1300	7	ajoyib	O	NER
1300	8	gol	O	NER
1300	9	—	O	PUNCT
1300	10	«	O	PUNCT
1300	11	Yokogama	B-ORG	NER
1300	12	»	O	PUNCT
1300	13	FK	B-ORG	NER
1300	14	futbolchisi	O	NER
1300	15	Tova	B-PER	NER
1300	16	Yamanedan	I-PER	NER
1300	17	!	O	PUNCT
1301	1	Bu	O	NER
1301	2	gol	O	NER
1301	3	Yaponiya	B-LOC	NER
1301	4	kubogi	O	NER
1301	5	yarim	O	NER
1301	6	finalida	O	NER
1301	7	«	O	PUNCT
1301	8	Sanfrechche	B-ORG	NER
1301	9	Xirosima	I-ORG	NER
1301	10	»	O	PUNCT
1301	11	ga	O	N
1301	12	qarshi	O	N
1301	13	uchrashuvda	O	N
1301	14	kiritilgan	O	N
1301	15	.	O	PUNCT
1302	1	Yaponlar	B-LOC	IB
1302	2	yana	O	IB
1302	3	qandaydir	O	IB
1302	4	yangilik	O	IB
1302	5	ixtiro	O	IB
1302	6	qilishdi	O	IB
1302	7	.	O	PUNCT
1303	1	Misrlik	O	NER
1303	2	futbolchi	O	NER
1303	3	Salahning	B-PER	NER
1303	4	surati	O	NER
1303	5	Kamerundagi	B-LOC	NER
1303	6	yangi	O	IB
1303	7	prezident	O	IB
1303	8	saylovchilari	O	IB
1303	9	ro‘yxatida	O	IB
1303	10	ko‘rilgani	O	IB
1303	11	xabar	O	IB
1303	12	qilindi	O	IB
1303	13	—	O	IB
1303	14	hatto	O	IB
1303	15	uning	O	IB
1303	16	ovozi	O	IB
1303	17	hisobga	O	IB
1303	18	olingani	O	IB
1303	19	aytilmoqda	O	IB
1303	20	.	O	PUNCT
1304	1	Kamerunda	B-LOC	NER
1304	2	1982	B-TEMPORAL	NER
1304	3	yildan	I-TEMPORAL	NER
1304	4	beri	O	NER
1304	5	bitta	O	NER
1304	6	prezident	O	NER
1304	7	—	O	NER
1304	8	Pol	B-PER	NER
1304	9	Biyya	I-PER	NER
1304	10	hukmronlik	O	NER
1304	11	qilib	O	NER
1304	12	kelmoqda	O	NER
1304	13	.	O	PUNCT
1305	1	U	O	NER
1305	2	92	B-NUMERIC	NER
1305	3	yoshda	O	NER
1305	4	bo‘lishiga	O	NER
1305	5	qaramay	O	NER
1305	6	,	O	PUNCT
1305	7	8-muddatga	B-NUMERIC	N
1305	8	nomzodini	O	N
1305	9	qo‘ygan	O	N
1305	10	.	O	PUNCT
1306	1	59	B-NUMERIC	NER
1306	2	yoshli	O	NER
1306	3	Romarioning	B-PER	NER
1306	4	go‘zal	O	NER
1306	5	golidan	O	NER
1306	6	bahra	O	NER
1306	7	oling	O	NER
1306	8	!	O	PUNCT
1307	1	U	O	NER
1307	2	Braziliya	B-LOC	NER
1307	3	va	O	NER
1307	4	Italiya	B-LOC	NER
1307	5	afsonalari	O	IB
1307	6	o‘yinida	O	IB
1307	7	shunday	O	IB
1307	8	estetik	O	IB
1307	9	gol	O	IB
1307	10	urdiki	O	IB
1307	11	—	O	IB
1307	12	xuddi	O	IB
1307	13	1990-yillardagi	B-TEMPORAL	IB
1307	14	odatdagidek	O	IB
1307	15	.	O	PUNCT
1308	1	Nasiru	B-PER	NER
1308	2	Salixu	I-PER	NER
1308	3	,	O	PUNCT
1308	4	Emmanuel	B-PER	NER
1308	5	Ekele	I-PER	NER
1308	6	,	O	PUNCT
1308	7	Daniyel	B-PER	NER
1308	8	Bameyi	I-PER	NER
1308	9	—	O	NER
1308	10	Nigeriya	B-LOC	NER
1308	11	U-20	B-ORG	NER
1308	12	terma	O	NER
1308	13	jamoasi	O	NER
1308	14	futbolchilaridan	O	NER
1308	15	ba’zilari	O	NER
1308	16	.	O	PUNCT
1309	1	Yana	O	NER
1309	2	markazdan	O	NER
1309	3	urilgan	O	NER
1309	4	gol	O	NER
1309	5	bilan	O	NER
1309	6	qaytdim	O	NER
1309	7	:	O	PUNCT
1309	8	“	O	PUNCT
1309	9	Nortern	B-ORG	NER
1309	10	Kolorado	I-ORG	NER
1309	11	Bearz	I-ORG	NER
1309	12	”	O	PUNCT
1309	13	futbolchisi	O	N
1309	14	Mia	B-PER	NER
1309	15	Normanning	I-PER	NER
1309	16	“	O	PUNCT
1309	17	Nortern	B-ORG	NER
1309	18	Arizona	I-ORG	NER
1309	19	Lamberdjeks	I-ORG	NER
1309	20	”	O	PUNCT
1309	21	darvozasiga	O	N
1309	22	juda	O	IB
1309	23	chiroyli	O	IB
1309	24	jarima	O	IB
1309	25	zarbasini	O	IB
1309	26	tomosha	O	IB
1309	27	qiling	O	IB
1309	28	!	O	PUNCT
1310	1	Shu	O	NER
1310	2	penaltilar	O	NER
1310	3	seriyasi	O	NER
1310	4	esingizdami	O	NER
1310	5	?	O	PUNCT
1311	1	Kimlarni	O	NER
1311	2	tanidingiz	O	NER
1311	3	?	O	PUNCT
1312	1	Shri-Lanka	B-LOC	NER
1312	2	terma	O	NER
1312	3	jamoasi	O	NER
1312	4	bosh	O	NER
1312	5	murabbiyi	O	NER
1312	6	Abdulla	B-PER	NER
1312	7	Al-Mutairining	I-PER	NER
1312	8	Turkmaniston	B-LOC	NER
1312	9	ustidan	O	IB
1312	10	minimal	O	IB
1312	11	hisobdagi	O	IB
1312	12	g‘alabadan	O	IB
1312	13	sevinch	O	IB
1312	14	ifodasi	O	IB
1312	15	:	O	PUNCT
1312	16	xuddi	O	N
1312	17	biz	O	N
1312	18	,	O	PUNCT
1312	19	dam	O	IB
1312	20	olish	O	IB
1312	21	kunlari	O	IB
1312	22	ertaga	O	IB
1312	23	ekanini	O	IB
1312	24	anglab	O	IB
1312	25	olgan	O	IB
1312	26	paytdek	O	IB
1312	27	.	O	PUNCT
1313	1	Jahon	B-MISC	NER
1313	2	chempionati	I-MISC	NER
1313	3	saralash	O	NER
1313	4	bahsida	O	NER
1313	5	Nikaragua	B-LOC	NER
1313	6	va	O	NER
1313	7	Gaiti	B-LOC	NER
1313	8	o‘rtasidagi	O	IB
1313	9	o‘yin	O	IB
1313	10	qanday	O	IB
1313	11	sharoitlarda	O	IB
1313	12	bo‘lib	O	IB
1313	13	o‘tganini	O	IB
1313	14	ko‘rdingizmi	O	IB
1313	15	?	O	PUNCT
1314	1	Mehmonlar	O	NER
1314	2	—	O	NER
1314	3	Gaiti	B-LOC	NER
1314	4	jamoasi	O	NER
1314	5	03:00:00	B-NUMERIC	NER
1314	6	hisobida	O	NER
1314	7	g‘alaba	O	NER
1314	8	qozondi	O	NER
1314	9	,	O	PUNCT
1314	10	guruh	O	IB
1314	11	jadvalida	O	IB
1314	12	yetakchilik	O	IB
1314	13	qilmoqda	O	IB
1314	14	va	O	IB
1314	15	tarixida	O	IB
1314	16	ikkinchi	O	IB
1314	17	marta	O	IB
1314	18	final	O	IB
1314	19	bosqichiga	O	IB
1314	20	chiqish	O	IB
1314	21	imkoniga	O	IB
1314	22	ega	O	IB
1314	23	—	O	IB
1314	24	ilk	O	IB
1314	25	marta	O	IB
1314	26	bu	O	IB
1314	27	1974	B-TEMPORAL	IB
1314	28	yilda	I-TEMPORAL	IB
1314	29	sodir	O	IB
1314	30	bo‘lgan	O	IB
1314	31	edi	O	IB
1314	32	.	O	PUNCT
1315	1	Marko	B-PER	NER
1315	2	Arnautovich	I-PER	NER
